"Ativo","Data","Patrim Liq| Em moeda orig| em milhares| consolid:sim*"
"QVQP3<XBSP>","4T2013",473
"QVQP3<XBSP>","1T2014",430
"QVQP3<XBSP>","2T2014",333
"QVQP3<XBSP>","3T2014",329
"QVQP3<XBSP>","4T2014",322
"QVQP3<XBSP>","1T2015",274
"QVQP3<XBSP>","2T2015",263
"QVQP3<XBSP>","3T2015",256
"QVQP3<XBSP>","4T2015",249
"QVQP3<XBSP>","1T2016",220
"QVQP3<XBSP>","2T2016",181
"QVQP3<XBSP>","3T2016",171
"QVQP3<XBSP>","4T2016",150
"QVQP3<XBSP>","1T2017",118
"QVQP3<XBSP>","2T2017",94
"QVQP3<XBSP>","3T2017",24
"QVQP3<XBSP>","4T2017",100
"QVQP3<XBSP>","1T2018",150
"QVQP3<XBSP>","2T2018",128
"QVQP3<XBSP>","3T2018",108
"QVQP3<XBSP>","4T2018",93
"QVQP3<XBSP>","1T2019",117
"QVQP3<XBSP>","2T2019",88
"QVQP3<XBSP>","3T2019",71
"QVQP3<XBSP>","4T2019",55
"QVQP3<XBSP>","1T2020",211
"QVQP3<XBSP>","2T2020",179
"QVQP3<XBSP>","3T2020",164
"QVQP3<XBSP>","4T2020",150
"QVQP3<XBSP>","1T2021",67
"QVQP3<XBSP>","2T2021",62
"QVQP3<XBSP>","3T2021",47
"QVQP3<XBSP>","4T2021",112
"QVQP3<XBSP>","1T2022",54
"QVQP3<XBSP>","2T2022",133
"QVQP3<XBSP>","3T2022",125
"QVQP3<XBSP>","4T2022",117
"QVQP3<XBSP>","1T2023",53
"QVQP3<XBSP>","2T2023",130
"QVQP3<XBSP>","3T2023",146
"QVQP3<XBSP>","4T2023",138
"QVQP3<XBSP>","1T2024",69
"QVQP3<XBSP>","2T2024",126
"ABCB4<XBSP>","1T2010",1247149
"ABCB4<XBSP>","2T2010",1279066
"ABCB4<XBSP>","3T2010",1312078
"ABCB4<XBSP>","4T2010",1347918
"ABCB4<XBSP>","1T2011",1384340
"ABCB4<XBSP>","2T2011",1424244
"ABCB4<XBSP>","3T2011",1460153
"ABCB4<XBSP>","4T2011",1499606
"ABCB4<XBSP>","1T2012",1535618
"ABCB4<XBSP>","2T2012",1565771
"ABCB4<XBSP>","3T2012",1638610
"ABCB4<XBSP>","4T2012",1679473
"ABCB4<XBSP>","1T2013",1756535
"ABCB4<XBSP>","2T2013",1794199
"ABCB4<XBSP>","3T2013",1864725
"ABCB4<XBSP>","4T2013",1917522
"ABCB4<XBSP>","1T2014",1986350
"ABCB4<XBSP>","2T2014",2031400
"ABCB4<XBSP>","3T2014",2127742
"ABCB4<XBSP>","4T2014",2188545
"ABCB4<XBSP>","1T2015",2275896
"ABCB4<XBSP>","2T2015",2335202
"ABCB4<XBSP>","3T2015",2440814
"ABCB4<XBSP>","4T2015",2509659
"ABCB4<XBSP>","1T2016",2629864
"ABCB4<XBSP>","2T2016",2688820
"ABCB4<XBSP>","3T2016",2831307
"ABCB4<XBSP>","4T2016",2893218
"ABCB4<XBSP>","1T2017",3031927
"ABCB4<XBSP>","2T2017",3089924
"ABCB4<XBSP>","3T2017",3228438
"ABCB4<XBSP>","4T2017",3284332
"ABCB4<XBSP>","1T2018",3419863
"ABCB4<XBSP>","2T2018",3445961
"ABCB4<XBSP>","3T2018",3618852
"ABCB4<XBSP>","4T2018",3665510
"ABCB4<XBSP>","1T2019",3824364
"ABCB4<XBSP>","2T2019",3882219
"ABCB4<XBSP>","3T2019",3956287
"ABCB4<XBSP>","4T2019",4040733
